vendor_id,vendor_name,vendor_category,entity_type,vendor_status,onboarding_date,vendor_age_days,primary_contact_name,trusted_email,trusted_phone,primary_bank_account,primary_ifsc,previous_bank_account,beneficiary_change_count,average_payment_amount,minimum_payment_amount,maximum_payment_amount,transaction_count_30d,transaction_count_90d,usual_requester_ids,usual_departments,risk_baseline,country,city,provenance,source_dataset,synthetic,scenario_profile
VND-0001,Malhotra Consulting Services,CONSULTING,VENDOR,UNDER_REVIEW,2026-03-22,1733,Aditya Patel,aditya.patel@example.com,+91-9000028936,SYNTH-ACC-01036,SYNB1460244,SYNTH-HIST-17361,1,121991.34,67095.24,195186.14,1,10,"EMP-0007,EMP-0011,EMP-0024","ADMIN,PROCUREMENT,SALES",64,India,Bengaluru,synthetic,rocketguard_vendor_master,TRUE,COORDINATED_CAMPAIGN_VENDOR
VND-0002,Sharma Engineering Works,PROFESSIONAL_SERVICES,VENDOR,ACTIVE,2026-05-02,164,Vikram Mehta,vikram.mehta@example.com,+91-9000012520,SYNTH-ACC-01039,SYNB6309053,,0,202118.56,111165.21,323389.7,4,20,"EMP-0016,EMP-0024","IT,PROCUREMENT",30,India,Hyderabad,synthetic,rocketguard_vendor_master,TRUE,NEW_VENDOR
VND-0003,Sharma Infrastructure Works,CONSTRUCTION,VENDOR,ACTIVE,2026-03-20,1849,Meera Bhat,meera.bhat@example.com,+91-9000063816,SYNTH-ACC-01021,SYNB4156909,,0,123938.1,68165.96,198300.96,3,6,"EMP-0015,EMP-0026","IT,OPERATIONS",10,India,Pune,synthetic,rocketguard_vendor_master,TRUE,HIGH_VALUE_VENDOR
VND-0004,Singh Enterprise Services,PROFESSIONAL_SERVICES,VENDOR,ACTIVE,2026-01-01,1637,Tanya Mehta,tanya.mehta@example.com,+91-9000017116,SYNTH-ACC-01007,SYNB2846799,,0,130647.55,71856.15,209036.08,8,19,"EMP-0016,EMP-0018,EMP-0021,EMP-0028","ADMIN,HR,IT,OPERATIONS",27,India,Ahmedabad,synthetic,rocketguard_vendor_master,TRUE,HIGH_VALUE_VENDOR
VND-0005,Sethi Digital Works,CONSULTING,VENDOR,ACTIVE,2026-01-19,827,Vivaan Shah,vivaan.shah@example.com,+91-9000018288,SYNTH-ACC-01037,SYNB3815457,,0,108480.49,59664.27,173568.78,8,16,EMP-0019,PROCUREMENT,22,India,Mumbai,synthetic,rocketguard_vendor_master,TRUE,NEW_VENDOR
VND-0007,Joshi Infrastructure Systems,IT_SERVICES,VENDOR,ACTIVE,2026-04-22,1220,Vivaan Rao,vivaan.rao@example.com,+91-9000064960,SYNTH-ACC-01004,SYNB5953062,,0,265208.49,145864.67,424333.58,3,11,EMP-0009,HR,20,India,Ahmedabad,synthetic,rocketguard_vendor_master,TRUE,HIGH_VALUE_VENDOR
VND-0008,Verma Digital Solutions,PROFESSIONAL_SERVICES,VENDOR,UNDER_REVIEW,2026-05-26,1257,Aarav Joshi,aarav.joshi@example.com,+91-9000040776,SYNTH-ACC-03079,SYNB3556602,SYNTH-HIST-90873,2,239044.17,131474.29,382470.67,8,13,"EMP-0013,EMP-0015","OPERATIONS,SALES",53,India,Ahmedabad,synthetic,rocketguard_vendor_master,TRUE,COORDINATED_CAMPAIGN_VENDOR
VND-0009,Bhat Engineering Pvt Ltd,IT_SERVICES,VENDOR,ACTIVE,2026-03-20,98,Ishaan Rao,ishaan.rao@example.com,+91-9000035816,SYNTH-ACC-01011,SYNB4408030,,0,154490.39,84969.71,247184.62,1,10,"EMP-0003,EMP-0014,EMP-0023,EMP-0028","HR,OPERATIONS,PROCUREMENT",14,India,Gurugram,synthetic,rocketguard_vendor_master,TRUE,HIGH_VALUE_VENDOR
VND-0010,Sethi Enterprise Solutions,MARKETING,VENDOR,ACTIVE,2026-03-16,1403,Rohan Sharma,rohan.sharma@example.com,+91-9000034573,SYNTH-ACC-01031,SYNB7024830,SYNTH-HIST-31034,2,56438.76,31041.32,90302.02,4,20,"EMP-0005,EMP-0014,EMP-0015,EMP-0016","IT,OPERATIONS,PROCUREMENT",35,India,Ahmedabad,synthetic,rocketguard_vendor_master,TRUE,BENEFICIARY_CHANGE_HISTORY
VND-0011,Nair Logistics Pvt Ltd,CONSTRUCTION,VENDOR,ACTIVE,2026-04-08,902,Tanya Chopra,tanya.chopra@example.com,+91-9000034122,SYNTH-ACC-01023,SYNB4050265,,0,64964.25,35730.34,103942.8,4,5,"EMP-0016,EMP-0028","HR,IT",16,India,Mumbai,synthetic,rocketguard_vendor_master,TRUE,NEW_VENDOR
VND-0012,Shah Technology Services,CONSULTING,VENDOR,UNDER_REVIEW,2026-04-02,2096,Ishaan Verma,ishaan.verma@example.com,+91-9000037615,SYNTH-ACC-01015,SYNB7237744,SYNTH-HIST-87365,1,77604.08,42682.24,124166.53,5,15,"EMP-0007,EMP-0011,EMP-0018,EMP-0027","ADMIN,OPERATIONS,SALES",63,India,Delhi,synthetic,rocketguard_vendor_master,TRUE,COORDINATED_CAMPAIGN_VENDOR
VND-0013,Patel Office Solutions,MAINTENANCE,VENDOR,ACTIVE,2026-05-07,1036,Ishaan Bhat,ishaan.bhat@example.com,+91-9000084445,SYNTH-ACC-03085,SYNB9072487,,0,188079.9,103443.95,300927.84,4,10,EMP-0028,HR,30,India,Noida,synthetic,rocketguard_vendor_master,TRUE,NEW_VENDOR
VND-0014,Reddy Technology Services,MARKETING,VENDOR,ACTIVE,2026-03-01,539,Karan Joshi,karan.joshi@example.com,+91-9000028796,SYNTH-ACC-01034,SYNB8848407,,0,157118.71,86415.29,251389.94,2,19,EMP-0015,OPERATIONS,19,India,Ahmedabad,synthetic,rocketguard_vendor_master,TRUE,HIGH_VALUE_VENDOR
VND-0015,Shah Logistics Services,CONSULTING,VENDOR,ACTIVE,2026-04-18,2590,Arjun Sharma,arjun.sharma@example.com,+91-9000032412,SYNTH-ACC-01008,SYNB6932655,,0,46972.34,25834.79,75155.74,1,8,"EMP-0009,EMP-0014,EMP-0027","ADMIN,HR,PROCUREMENT",14,India,Bengaluru,synthetic,rocketguard_vendor_master,TRUE,NEW_VENDOR
VND-0017,Menon Infrastructure Systems,MANUFACTURING,VENDOR,UNDER_REVIEW,2026-06-07,89,Kabir Nair,kabir.nair@example.com,+91-9000065480,SYNTH-ACC-01002,SYNB9389273,SYNTH-HIST-24682,1,97292.63,53510.95,155668.21,8,17,"EMP-0006,EMP-0022,EMP-0025","FINANCE,HR,OPERATIONS",67,India,Pune,synthetic,rocketguard_vendor_master,TRUE,COORDINATED_CAMPAIGN_VENDOR
VND-0018,Iyer Logistics Pvt Ltd,MANUFACTURING,VENDOR,UNDER_REVIEW,2026-04-26,2267,Karan Sharma,karan.sharma@example.com,+91-9000034733,SYNTH-ACC-01006,SYNB9679267,,0,70914.4,39002.92,113463.04,2,13,"EMP-0012,EMP-0018,EMP-0022","OPERATIONS,SALES",53,India,Gurugram,synthetic,rocketguard_vendor_master,TRUE,NEW_VENDOR
VND-0019,Malhotra Logistics Works,CONSTRUCTION,VENDOR,ACTIVE,2026-02-03,962,Ishaan Joshi,ishaan.joshi@example.com,+91-9000082961,SYNTH-ACC-01016,SYNB3360038,,0,18354.61,10095.04,29367.38,1,13,EMP-0020,FINANCE,9,India,Kolkata,synthetic,rocketguard_vendor_master,TRUE,NORMAL_VENDOR
VND-0020,Mehta Business Solutions,SOFTWARE,VENDOR,UNDER_REVIEW,2026-05-19,2527,Priya Sharma,priya.sharma@example.com,+91-9000050314,SYNTH-BEN-7002,SYNB1332308,SYNTH-HIST-77136,2,131400.0,72270.0,210240.0,1,14,EMP-0015,OPERATIONS,57,India,Noida,synthetic,rocketguard_vendor_master,TRUE,COORDINATED_CAMPAIGN_VENDOR
VND-0022,Rao Logistics Works,MANUFACTURING,VENDOR,UNDER_REVIEW,2026-06-25,1521,Rohan Verma,rohan.verma@example.com,+91-9000037054,SYNTH-ACC-01017,SYNB8454202,,0,172628.79,94945.83,276206.06,8,15,"EMP-0014,EMP-0019,EMP-0027","ADMIN,PROCUREMENT",31,India,Delhi,synthetic,rocketguard_vendor_master,TRUE,NORMAL_VENDOR
VND-0023,Chopra Technology Works,PROFESSIONAL_SERVICES,VENDOR,ACTIVE,2026-01-06,1219,Aarav Rao,aarav.rao@example.com,+91-9000019137,SYNTH-ACC-01027,SYNB7515372,,0,25984.18,14291.3,41574.69,0,12,EMP-0020,FINANCE,16,India,Kolkata,synthetic,rocketguard_vendor_master,TRUE,NORMAL_VENDOR
VND-0024,Singh Office Pvt Ltd,OFFICE_SUPPLIES,VENDOR,UNDER_REVIEW,2026-06-03,2543,Priya Sharma,priya.sharma@example.com,+91-9000070951,SYNTH-ACC-01001,SYNB7690745,SYNTH-HIST-68078,2,107426.13,59084.37,171881.81,2,6,"EMP-0005,EMP-0007","PROCUREMENT,SALES",65,India,Delhi,synthetic,rocketguard_vendor_master,TRUE,COORDINATED_CAMPAIGN_VENDOR
VND-0025,Malhotra Office Systems,MANUFACTURING,VENDOR,ACTIVE,2026-06-03,1023,Vivaan Mehta,vivaan.mehta@example.com,+91-9000072074,SYNTH-ACC-01019,SYNB7083142,,0,74316.17,40873.89,118905.87,0,5,EMP-0015,OPERATIONS,8,India,Ahmedabad,synthetic,rocketguard_vendor_master,TRUE,NEW_VENDOR
VND-0026,Joshi Technology Services,LOGISTICS,VENDOR,ACTIVE,2026-01-22,2162,Vikram Shah,vikram.shah@example.com,+91-9000042665,SYNTH-ACC-01012,SYNB7755995,,0,105605.59,58083.07,168968.94,6,11,"EMP-0016,EMP-0022,EMP-0023,EMP-0025,EMP-0027","ADMIN,HR,IT,OPERATIONS",7,India,Gurugram,synthetic,rocketguard_vendor_master,TRUE,HIGH_VALUE_VENDOR
VND-0027,Sethi Logistics Solutions,LOGISTICS,VENDOR,ACTIVE,2026-05-25,1126,Rahul Verma,rahul.verma@example.com,+91-9000084590,SYNTH-ACC-01009,SYNB7769849,,0,60136.02,33074.81,96217.63,6,16,EMP-0018,OPERATIONS,22,India,Noida,synthetic,rocketguard_vendor_master,TRUE,NEW_VENDOR
VND-0028,Joshi Engineering Pvt Ltd,PROFESSIONAL_SERVICES,VENDOR,ACTIVE,2026-01-17,2280,Aditya Sharma,aditya.sharma@example.com,+91-9000042619,SYNTH-ACC-01014,SYNB4451497,,0,43756.32,24065.98,70010.11,3,5,"EMP-0003,EMP-0020","FINANCE,OPERATIONS",12,India,Chennai,synthetic,rocketguard_vendor_master,TRUE,HIGH_VALUE_VENDOR
VND-0029,Menon Office Solutions,MANUFACTURING,VENDOR,UNDER_REVIEW,2026-03-27,2533,Ishaan Mehta,ishaan.mehta@example.com,+91-9000018656,SYNTH-ACC-03088,SYNB6038189,,0,345151.2,189833.16,552241.92,2,11,EMP-0024,PROCUREMENT,42,India,Chennai,synthetic,rocketguard_vendor_master,TRUE,HIGH_VALUE_VENDOR
VND-0030,Singh Industrial Services,MARKETING,VENDOR,ACTIVE,2026-05-13,1463,Tanya Bhat,tanya.bhat@example.com,+91-9000014503,SYNTH-ACC-03083,SYNB8922203,,0,66669.4,36668.17,106671.04,8,11,EMP-0011,ADMIN,39,India,Gurugram,synthetic,rocketguard_vendor_master,TRUE,NEW_VENDOR
VND-0031,Sethi Enterprise Solutions,IT_SERVICES,VENDOR,ACTIVE,2026-01-16,2192,Karan Mehta,karan.mehta@example.com,+91-9000058372,SYNTH-ACC-03087,SYNB9926945,,0,150578.06,82817.93,240924.9,0,17,EMP-0006,FINANCE,33,India,Delhi,synthetic,rocketguard_vendor_master,TRUE,NORMAL_VENDOR
VND-0032,Malhotra Logistics Solutions,PROFESSIONAL_SERVICES,VENDOR,ACTIVE,2026-02-22,2308,Aditya Joshi,aditya.joshi@example.com,+91-9000030462,SYNTH-ACC-03077,SYNB4951031,,0,156993.8,86346.59,251190.08,3,12,EMP-0002,IT,54,India,Gurugram,synthetic,rocketguard_vendor_master,TRUE,HIGH_VALUE_VENDOR
VND-0034,Menon Engineering Services,SOFTWARE,VENDOR,UNDER_REVIEW,2026-06-21,1368,Arjun Sharma,arjun.sharma@example.com,+91-9000079676,SYNTH-ACC-01026,SYNB8490305,SYNTH-HIST-96765,2,128285.1,70556.81,205256.16,4,14,"EMP-0011,EMP-0022","ADMIN,OPERATIONS",55,India,Pune,synthetic,rocketguard_vendor_master,TRUE,COORDINATED_CAMPAIGN_VENDOR
