case_id,payment_id,vendor_id,scenario_id,fraud_label,fraud_type,campaign_id,expected_detection,known_relationships,label_source,provenance,source_dataset,synthetic
CASE-000063,PAY-000063,VND-0011,LEGITIMATE_NORMAL,0,NONE,,LEGITIMATE,NONE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000008,PAY-000008,VND-0015,LEGITIMATE_NORMAL,0,NONE,,LEGITIMATE,NONE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000031,PAY-000031,VND-0010,LEGITIMATE_NORMAL,0,NONE,,LEGITIMATE,NONE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000001,PAY-000001,VND-0024,LEGITIMATE_NORMAL,0,NONE,,LEGITIMATE,NONE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000084,PAY-000084,VND-0002,INVOICE_FRAUD,1,INVOICE_FRAUD,,INDIVIDUAL_FRAUD,INVOICE_ANOMALY,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000017,PAY-000017,VND-0022,LEGITIMATE_NORMAL,0,NONE,,LEGITIMATE,NONE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000047,PAY-000047,VND-0012,LEGITIMATE_NORMAL,0,NONE,,LEGITIMATE,NONE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000027,PAY-000027,VND-0023,LEGITIMATE_NORMAL,0,NONE,,LEGITIMATE,NONE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000018,PAY-000018,VND-0026,LEGITIMATE_NORMAL,0,NONE,,LEGITIMATE,NONE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000024,PAY-000024,VND-0038,LEGITIMATE_NORMAL,0,NONE,,LEGITIMATE,NONE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000053,PAY-000053,VND-0044,LEGITIMATE_NORMAL,0,NONE,,LEGITIMATE,NONE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000003,PAY-000003,VND-0041,LEGITIMATE_NORMAL,0,NONE,,LEGITIMATE,NONE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000032,PAY-000032,VND-0035,LEGITIMATE_NORMAL,0,NONE,,LEGITIMATE,NONE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000058,PAY-000058,VND-0012,LEGITIMATE_NORMAL,0,NONE,,LEGITIMATE,NONE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
CASE-000039,PAY-000039,VND-0002,LEGITIMATE_NORMAL,0,NONE,,LEGITIMATE,NONE,synthetic_reference,synthetic_reference,dataset_01_financial_transactions_100,TRUE
